# Generated by MIB Browser
# Version 8.0.3
# 4/14/2026 4:12:36 PM
#
# HUA-MALIR-100.19
# 16:12  04:12 PM
MIB	"OID Name"	Value
RFC1213-MIB	sysDescr.0	"Huawei Integrated Access Software"
RFC1213-MIB	sysObjectID.0	hwProducts.248
RFC1213-MIB	sysUpTime.0	"123 days, 14 hours, 46 minutes, 50 seconds"
RFC1213-MIB	sysContact.0	"R&D Shenzhen, Huawei Technologies Co., Ltd."
RFC1213-MIB	sysName.0	HUA-MALIR-100.19
RFC1213-MIB	sysLocation.0	"Shenzhen China"
RFC1213-MIB	sysServices.0	78
IF-MIB	ifNumber.0	40
IF-MIB	ifIndex.128	128
IF-MIB	ifIndex.262	262
IF-MIB	ifIndex.263	263
IF-MIB	ifIndex.234905600	234905600
IF-MIB	ifIndex.234905664	234905664
IF-MIB	ifIndex.234905728	234905728
IF-MIB	ifIndex.234905792	234905792
IF-MIB	ifIndex.3221250304	-1073716992
IF-MIB	ifIndex.4194304000	-100663296
IF-MIB	ifIndex.4194304256	-100663040
IF-MIB	ifIndex.4194304512	-100662784
IF-MIB	ifIndex.4194304768	-100662528
IF-MIB	ifIndex.4194305024	-100662272
IF-MIB	ifIndex.4194305280	-100662016
IF-MIB	ifIndex.4194305536	-100661760
IF-MIB	ifIndex.4194305792	-100661504
IF-MIB	ifIndex.4194306048	-100661248
IF-MIB	ifIndex.4194306304	-100660992
IF-MIB	ifIndex.4194306560	-100660736
IF-MIB	ifIndex.4194306816	-100660480
IF-MIB	ifIndex.4194307072	-100660224
IF-MIB	ifIndex.4194307328	-100659968
IF-MIB	ifIndex.4194307584	-100659712
IF-MIB	ifIndex.4194307840	-100659456
IF-MIB	ifIndex.4194312192	-100655104
IF-MIB	ifIndex.4194312448	-100654848
IF-MIB	ifIndex.4194312704	-100654592
IF-MIB	ifIndex.4194312960	-100654336
IF-MIB	ifIndex.4194313216	-100654080
IF-MIB	ifIndex.4194313472	-100653824
IF-MIB	ifIndex.4194313728	-100653568
IF-MIB	ifIndex.4194313984	-100653312
IF-MIB	ifIndex.4194314240	-100653056
IF-MIB	ifIndex.4194314496	-100652800
IF-MIB	ifIndex.4194314752	-100652544
IF-MIB	ifIndex.4194315008	-100652288
IF-MIB	ifIndex.4194315264	-100652032
IF-MIB	ifIndex.4194315520	-100651776
IF-MIB	ifIndex.4194315776	-100651520
IF-MIB	ifIndex.4194316032	-100651264
IF-MIB	ifDescr.128	InLoopBack0
IF-MIB	ifDescr.262	null0
IF-MIB	ifDescr.263	meth0
IF-MIB	ifDescr.234905600	Huawei-MA5600-V800R015-ETHERNET
IF-MIB	ifDescr.234905664	Huawei-MA5600-V800R015-ETHERNET
IF-MIB	ifDescr.234905728	Huawei-MA5600-V800R015-ETHERNET
IF-MIB	ifDescr.234905792	Huawei-MA5600-V800R015-ETHERNET
IF-MIB	ifDescr.3221250304	Huawei-MA5600-V800R015-BITS
IF-MIB	ifDescr.4194304000	Huawei-MA5600-V800R015-GPON_UNI
IF-MIB	ifDescr.4194304256	Huawei-MA5600-V800R015-GPON_UNI
IF-MIB	ifDescr.4194304512	Huawei-MA5600-V800R015-GPON_UNI
IF-MIB	ifDescr.4194304768	Huawei-MA5600-V800R015-GPON_UNI
IF-MIB	ifDescr.4194305024	Huawei-MA5600-V800R015-GPON_UNI
IF-MIB	ifDescr.4194305280	Huawei-MA5600-V800R015-GPON_UNI
IF-MIB	ifDescr.4194305536	Huawei-MA5600-V800R015-GPON_UNI
IF-MIB	ifDescr.4194305792	Huawei-MA5600-V800R015-GPON_UNI
IF-MIB	ifDescr.4194306048	Huawei-MA5600-V800R015-GPON_UNI
IF-MIB	ifDescr.4194306304	Huawei-MA5600-V800R015-GPON_UNI
IF-MIB	ifDescr.4194306560	Huawei-MA5600-V800R015-GPON_UNI
IF-MIB	ifDescr.4194306816	Huawei-MA5600-V800R015-GPON_UNI
IF-MIB	ifDescr.4194307072	Huawei-MA5600-V800R015-GPON_UNI
IF-MIB	ifDescr.4194307328	Huawei-MA5600-V800R015-GPON_UNI
IF-MIB	ifDescr.4194307584	Huawei-MA5600-V800R015-GPON_UNI
IF-MIB	ifDescr.4194307840	Huawei-MA5600-V800R015-GPON_UNI
IF-MIB	ifDescr.4194312192	Huawei-MA5600-V800R015-GPON_UNI
IF-MIB	ifDescr.4194312448	Huawei-MA5600-V800R015-GPON_UNI
IF-MIB	ifDescr.4194312704	Huawei-MA5600-V800R015-GPON_UNI
IF-MIB	ifDescr.4194312960	Huawei-MA5600-V800R015-GPON_UNI
IF-MIB	ifDescr.4194313216	Huawei-MA5600-V800R015-GPON_UNI
IF-MIB	ifDescr.4194313472	Huawei-MA5600-V800R015-GPON_UNI
IF-MIB	ifDescr.4194313728	Huawei-MA5600-V800R015-GPON_UNI
IF-MIB	ifDescr.4194313984	Huawei-MA5600-V800R015-GPON_UNI
IF-MIB	ifDescr.4194314240	Huawei-MA5600-V800R015-GPON_UNI
IF-MIB	ifDescr.4194314496	Huawei-MA5600-V800R015-GPON_UNI
IF-MIB	ifDescr.4194314752	Huawei-MA5600-V800R015-GPON_UNI
IF-MIB	ifDescr.4194315008	Huawei-MA5600-V800R015-GPON_UNI
IF-MIB	ifDescr.4194315264	Huawei-MA5600-V800R015-GPON_UNI
IF-MIB	ifDescr.4194315520	Huawei-MA5600-V800R015-GPON_UNI
IF-MIB	ifDescr.4194315776	Huawei-MA5600-V800R015-GPON_UNI
IF-MIB	ifDescr.4194316032	Huawei-MA5600-V800R015-GPON_UNI
IF-MIB	ifType.128	24
IF-MIB	ifType.262	1
IF-MIB	ifType.263	6
IF-MIB	ifType.234905600	6
IF-MIB	ifType.234905664	6
IF-MIB	ifType.234905728	6
IF-MIB	ifType.234905792	6
IF-MIB	ifType.3221250304	255
IF-MIB	ifType.4194304000	250
IF-MIB	ifType.4194304256	250
IF-MIB	ifType.4194304512	250
IF-MIB	ifType.4194304768	250
IF-MIB	ifType.4194305024	250
IF-MIB	ifType.4194305280	250
IF-MIB	ifType.4194305536	250
IF-MIB	ifType.4194305792	250
IF-MIB	ifType.4194306048	250
IF-MIB	ifType.4194306304	250
IF-MIB	ifType.4194306560	250
IF-MIB	ifType.4194306816	250
IF-MIB	ifType.4194307072	250
IF-MIB	ifType.4194307328	250
IF-MIB	ifType.4194307584	250
IF-MIB	ifType.4194307840	250
IF-MIB	ifType.4194312192	250
IF-MIB	ifType.4194312448	250
IF-MIB	ifType.4194312704	250
IF-MIB	ifType.4194312960	250
IF-MIB	ifType.4194313216	250
IF-MIB	ifType.4194313472	250
IF-MIB	ifType.4194313728	250
IF-MIB	ifType.4194313984	250
IF-MIB	ifType.4194314240	250
IF-MIB	ifType.4194314496	250
IF-MIB	ifType.4194314752	250
IF-MIB	ifType.4194315008	250
IF-MIB	ifType.4194315264	250
IF-MIB	ifType.4194315520	250
IF-MIB	ifType.4194315776	250
IF-MIB	ifType.4194316032	250
IF-MIB	ifMtu.128	1500
IF-MIB	ifMtu.262	1500
IF-MIB	ifMtu.263	1500
IF-MIB	ifMtu.234905600	2048
IF-MIB	ifMtu.234905664	2048
IF-MIB	ifMtu.234905728	2048
IF-MIB	ifMtu.234905792	2048
IF-MIB	ifMtu.3221250304	0
IF-MIB	ifMtu.4194304000	2000
IF-MIB	ifMtu.4194304256	2000
IF-MIB	ifMtu.4194304512	2000
IF-MIB	ifMtu.4194304768	2000
IF-MIB	ifMtu.4194305024	2000
IF-MIB	ifMtu.4194305280	2000
IF-MIB	ifMtu.4194305536	2000
IF-MIB	ifMtu.4194305792	2000
IF-MIB	ifMtu.4194306048	2000
IF-MIB	ifMtu.4194306304	2000
IF-MIB	ifMtu.4194306560	2000
IF-MIB	ifMtu.4194306816	2000
IF-MIB	ifMtu.4194307072	2000
IF-MIB	ifMtu.4194307328	2000
IF-MIB	ifMtu.4194307584	2000
IF-MIB	ifMtu.4194307840	2000
IF-MIB	ifMtu.4194312192	2000
IF-MIB	ifMtu.4194312448	2000
IF-MIB	ifMtu.4194312704	2000
IF-MIB	ifMtu.4194312960	2000
IF-MIB	ifMtu.4194313216	2000
IF-MIB	ifMtu.4194313472	2000
IF-MIB	ifMtu.4194313728	2000
IF-MIB	ifMtu.4194313984	2000
IF-MIB	ifMtu.4194314240	2000
IF-MIB	ifMtu.4194314496	2000
IF-MIB	ifMtu.4194314752	2000
IF-MIB	ifMtu.4194315008	2000
IF-MIB	ifMtu.4194315264	2000
IF-MIB	ifMtu.4194315520	2000
IF-MIB	ifMtu.4194315776	2000
IF-MIB	ifMtu.4194316032	2000
IF-MIB	ifSpeed.128	0
IF-MIB	ifSpeed.262	0
IF-MIB	ifSpeed.263	100000000
IF-MIB	ifSpeed.234905600	1000000000
IF-MIB	ifSpeed.234905664	1000000000
IF-MIB	ifSpeed.234905728	4294967295
IF-MIB	ifSpeed.234905792	1000000000
IF-MIB	ifSpeed.3221250304	2048000
IF-MIB	ifSpeed.4194304000	2488320000
IF-MIB	ifSpeed.4194304256	2488320000
IF-MIB	ifSpeed.4194304512	2488320000
IF-MIB	ifSpeed.4194304768	2488320000
IF-MIB	ifSpeed.4194305024	2488320000
IF-MIB	ifSpeed.4194305280	2488320000
IF-MIB	ifSpeed.4194305536	2488320000
IF-MIB	ifSpeed.4194305792	2488320000
IF-MIB	ifSpeed.4194306048	2488320000
IF-MIB	ifSpeed.4194306304	2488320000
IF-MIB	ifSpeed.4194306560	2488320000
IF-MIB	ifSpeed.4194306816	2488320000
IF-MIB	ifSpeed.4194307072	2488320000
IF-MIB	ifSpeed.4194307328	2488320000
IF-MIB	ifSpeed.4194307584	2488320000
IF-MIB	ifSpeed.4194307840	2488320000
IF-MIB	ifSpeed.4194312192	2488320000
IF-MIB	ifSpeed.4194312448	2488320000
IF-MIB	ifSpeed.4194312704	2488320000
IF-MIB	ifSpeed.4194312960	2488320000
IF-MIB	ifSpeed.4194313216	2488320000
IF-MIB	ifSpeed.4194313472	2488320000
IF-MIB	ifSpeed.4194313728	2488320000
IF-MIB	ifSpeed.4194313984	2488320000
IF-MIB	ifSpeed.4194314240	2488320000
IF-MIB	ifSpeed.4194314496	2488320000
IF-MIB	ifSpeed.4194314752	2488320000
IF-MIB	ifSpeed.4194315008	2488320000
IF-MIB	ifSpeed.4194315264	2488320000
IF-MIB	ifSpeed.4194315520	2488320000
IF-MIB	ifSpeed.4194315776	2488320000
IF-MIB	ifSpeed.4194316032	2488320000
IF-MIB	ifPhysAddress.128	0000.0000.0000
IF-MIB	ifPhysAddress.262	0000.0000.0000
IF-MIB	ifPhysAddress.263	40EE.DDB0.E078
IF-MIB	ifPhysAddress.234905600	0000.0000.0000
IF-MIB	ifPhysAddress.234905664	0000.0000.0000
IF-MIB	ifPhysAddress.234905728	0000.0000.0000
IF-MIB	ifPhysAddress.234905792	0000.0000.0000
IF-MIB	ifPhysAddress.3221250304	0000.0000.0000
IF-MIB	ifPhysAddress.4194304000	0000.0000.0000
IF-MIB	ifPhysAddress.4194304256	0000.0000.0000
IF-MIB	ifPhysAddress.4194304512	0000.0000.0000
IF-MIB	ifPhysAddress.4194304768	0000.0000.0000
IF-MIB	ifPhysAddress.4194305024	0000.0000.0000
IF-MIB	ifPhysAddress.4194305280	0000.0000.0000
IF-MIB	ifPhysAddress.4194305536	0000.0000.0000
IF-MIB	ifPhysAddress.4194305792	0000.0000.0000
IF-MIB	ifPhysAddress.4194306048	0000.0000.0000
IF-MIB	ifPhysAddress.4194306304	0000.0000.0000
IF-MIB	ifPhysAddress.4194306560	0000.0000.0000
IF-MIB	ifPhysAddress.4194306816	0000.0000.0000
IF-MIB	ifPhysAddress.4194307072	0000.0000.0000
IF-MIB	ifPhysAddress.4194307328	0000.0000.0000
IF-MIB	ifPhysAddress.4194307584	0000.0000.0000
IF-MIB	ifPhysAddress.4194307840	0000.0000.0000
IF-MIB	ifPhysAddress.4194312192	0000.0000.0000
IF-MIB	ifPhysAddress.4194312448	0000.0000.0000
IF-MIB	ifPhysAddress.4194312704	0000.0000.0000
IF-MIB	ifPhysAddress.4194312960	0000.0000.0000
IF-MIB	ifPhysAddress.4194313216	0000.0000.0000
IF-MIB	ifPhysAddress.4194313472	0000.0000.0000
IF-MIB	ifPhysAddress.4194313728	0000.0000.0000
IF-MIB	ifPhysAddress.4194313984	0000.0000.0000
IF-MIB	ifPhysAddress.4194314240	0000.0000.0000
IF-MIB	ifPhysAddress.4194314496	0000.0000.0000
IF-MIB	ifPhysAddress.4194314752	0000.0000.0000
IF-MIB	ifPhysAddress.4194315008	0000.0000.0000
IF-MIB	ifPhysAddress.4194315264	0000.0000.0000
IF-MIB	ifPhysAddress.4194315520	0000.0000.0000
IF-MIB	ifPhysAddress.4194315776	0000.0000.0000
IF-MIB	ifPhysAddress.4194316032	0000.0000.0000
HUAWEI-TC-MIB	ifAdminStatus.128	up(1)
HUAWEI-TC-MIB	ifAdminStatus.262	up(1)
HUAWEI-TC-MIB	ifAdminStatus.263	up(1)
HUAWEI-TC-MIB	ifAdminStatus.234905600	up(1)
HUAWEI-TC-MIB	ifAdminStatus.234905664	up(1)
HUAWEI-TC-MIB	ifAdminStatus.234905728	up(1)
HUAWEI-TC-MIB	ifAdminStatus.234905792	up(1)
HUAWEI-TC-MIB	ifAdminStatus.3221250304	up(1)
HUAWEI-TC-MIB	ifAdminStatus.4194304000	up(1)
HUAWEI-TC-MIB	ifAdminStatus.4194304256	up(1)
HUAWEI-TC-MIB	ifAdminStatus.4194304512	up(1)
HUAWEI-TC-MIB	ifAdminStatus.4194304768	up(1)
HUAWEI-TC-MIB	ifAdminStatus.4194305024	up(1)
HUAWEI-TC-MIB	ifAdminStatus.4194305280	up(1)
HUAWEI-TC-MIB	ifAdminStatus.4194305536	up(1)
HUAWEI-TC-MIB	ifAdminStatus.4194305792	up(1)
HUAWEI-TC-MIB	ifAdminStatus.4194306048	up(1)
HUAWEI-TC-MIB	ifAdminStatus.4194306304	up(1)
HUAWEI-TC-MIB	ifAdminStatus.4194306560	up(1)
HUAWEI-TC-MIB	ifAdminStatus.4194306816	up(1)
HUAWEI-TC-MIB	ifAdminStatus.4194307072	up(1)
HUAWEI-TC-MIB	ifAdminStatus.4194307328	up(1)
HUAWEI-TC-MIB	ifAdminStatus.4194307584	up(1)
HUAWEI-TC-MIB	ifAdminStatus.4194307840	up(1)
HUAWEI-TC-MIB	ifAdminStatus.4194312192	up(1)
HUAWEI-TC-MIB	ifAdminStatus.4194312448	up(1)
HUAWEI-TC-MIB	ifAdminStatus.4194312704	up(1)
HUAWEI-TC-MIB	ifAdminStatus.4194312960	up(1)
HUAWEI-TC-MIB	ifAdminStatus.4194313216	up(1)
HUAWEI-TC-MIB	ifAdminStatus.4194313472	up(1)
HUAWEI-TC-MIB	ifAdminStatus.4194313728	up(1)
HUAWEI-TC-MIB	ifAdminStatus.4194313984	up(1)
HUAWEI-TC-MIB	ifAdminStatus.4194314240	up(1)
HUAWEI-TC-MIB	ifAdminStatus.4194314496	up(1)
HUAWEI-TC-MIB	ifAdminStatus.4194314752	up(1)
HUAWEI-TC-MIB	ifAdminStatus.4194315008	up(1)
HUAWEI-TC-MIB	ifAdminStatus.4194315264	up(1)
HUAWEI-TC-MIB	ifAdminStatus.4194315520	up(1)
HUAWEI-TC-MIB	ifAdminStatus.4194315776	up(1)
HUAWEI-TC-MIB	ifAdminStatus.4194316032	up(1)
HUAWEI-TC-MIB	ifOperStatus.128	up(1)
HUAWEI-TC-MIB	ifOperStatus.262	up(1)
HUAWEI-TC-MIB	ifOperStatus.263	up(1)
HUAWEI-TC-MIB	ifOperStatus.234905600	up(1)
HUAWEI-TC-MIB	ifOperStatus.234905664	up(1)
HUAWEI-TC-MIB	ifOperStatus.234905728	up(1)
HUAWEI-TC-MIB	ifOperStatus.234905792	up(1)
HUAWEI-TC-MIB	ifOperStatus.3221250304	down(2)
