PON type	Channels	ONU type	Ethernet ports	WiFi	VoIP ports	CATV	Allow custom profiles	Capability
GPON	G	321R	4	0	0	0	Yes	Bridging
GPON	G	546M	4	0	2	1	Yes	Bridging/Routing
GPON	G	CM111Z	4	0	2	1	Yes	Bridging/Routing
GPON	G	CM112Z	4	0	2	1	Yes	Bridging/Routing
GPON	G	EG8141A5	4	4	2	1	Yes	Bridging/Routing
GPON	G	EG8143A5	4	4	2	1	Yes	Bridging/Routing
GPON	G	EG8143A5-CATV	4	0	2	1	Yes	Bridging/Routing
GPON	G	EG8145V5	4	0	2	1	Yes	Bridging/Routing
GPON	G	EG8147X6	4	0	2	1	Yes	Bridging/Routing
GPON	G	EG8245H5	0	0	0	1	Yes	Bridging/Routing
GPON	G	EG8247H5	4	0	2	1	Yes	Bridging/Routing
GPON	G	EG8247W5	4	0	2	1	Yes	Bridging/Routing
GPON	G	F660	4	4	2	0	Yes	Bridging/Routing
GPON	G	F663N	4	0	2	1	Yes	Bridging/Routing
GPON	G	F670L	4	0	2	1	Yes	Bridging/Routing
GPON	G	F880	4	0	2	1	Yes	Bridging/Routing
GPON	G	GJ01	4	0	2	1	Yes	Bridging/Routing
GPON	G	GM220-S	4	0	2	1	Yes	Bridging/Routing
GPON	G	GM220-SXPON	4	0	0	1	Yes	Bridging/Routing
GPON	G	GM619V5XPON	4	0	2	1	Yes	Bridging/Routing
GPON	G	GM620-XP	4	0	2	1	Yes	Bridging/Routing
GPON	G	GM630	4	0	2	1	Yes	Bridging/Routing
GPON	G	GM630XPON	0	0	0	1	Yes	Bridging/Routing
GPON	G	GM680	4	0	2	1	Yes	Bridging/Routing
GPON	G	GP1702-4GPM	4	0	0	0	Yes	Bridging/Routing
GPON	G	GS2101	4	0	0	1	Yes	Bridging/Routing
GPON	G	GS3101	4	0	0	1	Yes	Bridging/Routing
GPON	G	H3-2SXPON	4	0	2	1	Yes	Bridging/Routing
GPON	G	HG10	4	0	2	1	Yes	Bridging/Routing
GPON	G	HG6821M	4	0	2	1	Yes	Bridging/Routing
GPON	G	HG8010H	1	0	0	0	Yes	Bridging
GPON	G	HG8020C	4	0	2	1	Yes	Bridging/Routing
GPON	G	HG8120C	2	0	1	0	Yes	Bridging/Routing
GPON	G	HG8141V5	4	4	2	1	Yes	Bridging/Routing
GPON	G	HG8143H	4	0	2	1	Yes	Bridging/Routing
GPON	G	HG8145C	4	0	2	1	Yes	Bridging/Routing
GPON	G	HG8145V5	4	0	2	1	Yes	Bridging/Routing
GPON	G	HG8145X6-6Te	4	0	2	1	Yes	Bridging/Routing
GPON	G	HG8240	4	0	2	0	Yes	Bridging/Routing
GPON	G	HG8240A	4	0	2	1	Yes	Bridging/Routing
GPON	G	HG8240H	4	4	2	0	Yes	Bridging/Routing
GPON	G	HG8240H5	4	0	2	1	Yes	Bridging/Routing
GPON	G	HG8240T	4	4	2	0	Yes	Bridging/Routing
GPON	G	HG8242	4	4	2	1	Yes	Bridging/Routing
GPON	G	HG8242H	4	4	2	1	Yes	Bridging/Routing
GPON	G	HG8245A	4	0	2	1	Yes	Bridging/Routing
GPON	G	HG8245C	4	4	2	1	Yes	Bridging/Routing
GPON	G	HG8245H	4	4	2	0	Yes	Bridging/Routing
GPON	G	HG8245H5	4	4	2	1	Yes	Bridging/Routing
GPON	G	HG8245Q	4	0	2	1	Yes	Bridging/Routing
GPON	G	HG8245Q2	4	0	2	1	Yes	Bridging/Routing
GPON	G	HG8245W5	4	4	2	1	Yes	Bridging/Routing
GPON	G	HG8245W5-6T	4	4	2	0	Yes	Bridging/Routing
GPON	G	HG8245X6-8Ne	4	0	2	1	Yes	Bridging/Routing
GPON	G	HG8247H	4	0	2	1	Yes	Bridging/Routing
GPON	G	HG8247H5	4	0	2	1	Yes	Bridging/Routing
GPON	G	HG8247H5-CATV	4	0	2	1	Yes	Bridging/Routing
GPON	G	HG8310M	1	0	0	0	Yes	Bridging
GPON	G	HG8311	1	0	1	0	Yes	Bridging
GPON	G	HG8321	4	0	2	0	Yes	Bridging/Routing
GPON	G	HG8321R	2	0	1	0	Yes	Bridging/Routing
GPON	G	HG8321R-RMS	4	0	2	1	Yes	Bridging/Routing
GPON	G	HG8321R5	4	0	2	0	Yes	Bridging/Routing
GPON	G	HG8326R	2	4	1	0	Yes	Bridging/Routing
GPON	G	HG8340M	4	0	0	0	Yes	Bridging/Routing
GPON	G	HG8342R	4	0	2	1	Yes	Bridging/Routing
GPON	G	HG8345R	4	0	2	1	Yes	Bridging/Routing
GPON	G	HG8346M	4	4	2	0	Yes	Bridging/Routing
GPON	G	HG8346R	4	4	2	0	Yes	Bridging/Routing
GPON	G	HG8347R	4	4	1	0	Yes	Bridging/Routing
GPON	G	HG8545M	4	4	1	0	Yes	Bridging/Routing
GPON	G	HG8546D5	4	4	2	1	Yes	Bridging/Routing
GPON	G	HG8546M	4	4	1	0	Yes	Bridging/Routing
GPON	G	HG8546M-RMS	4	4	2	1	Yes	Bridging/Routing
GPON	G	HG8546M-XPON	4	0	2	1	Yes	Bridging/Routing
GPON	G	HG865	4	4	2	0	Yes	Bridging/Routing
GPON	G	HN8254	4	0	2	0	Yes	Bridging/Routing
GPON	G	HS8025C	4	0	2	1	Yes	Bridging/Routing
GPON	G	HS8125C	4	0	2	1	Yes	Bridging/Routing
GPON	G	HS8145C	4	0	2	1	Yes	Bridging/Routing
GPON	G	HS8145C5	4	4	2	1	Yes	Bridging/Routing
GPON	G	HS8145V	4	4	1	0	Yes	Bridging/Routing
GPON	G	HS8346R	4	0	2	1	Yes	Bridging/Routing
GPON	G	HS8346R5	4	0	2	1	Yes	Bridging/Routing
GPON	G	HS8545M	0	4	0	1	Yes	Bridging/Routing
GPON	G	HS8545M5	4	4	2	1	Yes	Bridging/Routing
GPON	G	HS8546V	4	4	1	0	Yes	Bridging/Routing
GPON	G	HSGQ-E100W	4	0	2	1	Yes	Bridging/Routing
GPON	G	HSGQ-X100DG	4	0	2	1	Yes	Bridging/Routing
GPON	G	HSGQ-X100W3	4	0	2	1	Yes	Bridging/Routing
GPON	G	HT803G-U-E	0	0	0	1	Yes	Bridging/Routing
GPON	G	IGD	4	0	2	1	Yes	Bridging/Routing
GPON	G	JD112V5XPON	4	0	2	1	Yes	Bridging/Routing
GPON	G	JD8145V5	4	0	2	1	Yes	Bridging/Routing
GPON	G	MA786X5	4	1	1	1	Yes	Bridging/Routing
GPON	G	MONUH143	4	0	2	1	Yes	Bridging/Routing
GPON	G	MONUV112	4	0	2	1	Yes	Bridging/Routing
GPON	G	MONUV142	0	0	0	1	Yes	Bridging/Routing
GPON	G	MT-1501	4	0	2	0	Yes	Bridging/Routing
GPON	G	MT-1504	4	0	2	0	Yes	Bridging/Routing
GPON	G	MT-1601	0	0	0	1	Yes	Bridging/Routing
GPON	G	MT-1604	4	0	2	1	Yes	Bridging/Routing
GPON	G	MT-1704-1G-N	4	0	2	1	Yes	Bridging/Routing
GPON	G	MT-1704-1G-N-RF	0	0	0	1	Yes	Bridging/Routing
GPON	G	MT-1704-2G-AC	4	0	2	1	Yes	Bridging/Routing
GPON	G	MT-1704-2G-AC-RF	4	0	2	1	Yes	Bridging/Routing
GPON	G	MT-1704-4G-AC	4	0	2	1	Yes	Bridging/Routing
GPON	G	MT-1704-4G-ACRF	4	0	2	1	Yes	Bridging/Routing
GPON	G	NTPL-XPON1GEFEVN	4	0	2	1	Yes	Bridging/Routing
GPON	G	ONU-type-eth-1-pots-2-catv-1	1	0	0	1	Yes	Bridging/Routing
GPON	G	ONU-type-eth-2-pots-1-catv-1	2	0	1	1	Yes	Bridging/Routing
GPON	G	ONU-type-eth-4-pots-1-catv-0	4	0	1	0	Yes	Bridging/Routing
GPON	G	ONU-type-eth-4-pots-1-catv-1	4	0	1	1	Yes	Bridging/Routing
GPON	G	ONU-type-eth-4-pots-2-catv-0	4	0	2	0	Yes	Bridging/Routing
GPON	G	ONU-type-eth-4-pots-2-catv-1	4	0	2	1	Yes	Bridging/Routing
GPON	G	OPT5152-4G-1T	4	0	2	1	Yes	Bridging/Routing
GPON	G	PT939G	4	0	2	1	Yes	Bridging/Routing
GPON	G	SDN7252WG1	4	0	1	0	Yes	Bridging/Routing
GPON	G	SFU	1	0	0	0	Yes	Bridging/Routing
GPON	G	SK-D746	4	0	0	1	Yes	Bridging/Routing
GPON	G	VSOLH113	0	0	0	1	Yes	Bridging/Routing
GPON	G	VSOLH143	0	0	0	1	Yes	Bridging/Routing
GPON	G	VSOLH213	0	0	0	1	Yes	Bridging/Routing
GPON	G	VSOLH253	4	0	2	1	Yes	Bridging/Routing
GPON	G	VSOLH313	4	0	2	1	Yes	Bridging/Routing
GPON	G	VSOLV112	0	0	0	1	Yes	Bridging/Routing
GPON	G	VSOLV142	0	0	0	1	Yes	Bridging/Routing
GPON	G	VSOLV222	4	0	2	1	Yes	Bridging/Routing
GPON	G	VSOLV342	0	0	0	1	Yes	Bridging/Routing
GPON	G	VSOLV411	4	0	2	1	Yes	Bridging/Routing
GPON	G	VSOLV542	4	0	2	1	Yes	Bridging/Routing
GPON	G	VSOLV601	4	0	2	1	Yes	Bridging/Routing
GPON	G	VSOLV642	0	0	0	1	Yes	Bridging/Routing
GPON	G	VSOLV711	4	0	2	1	Yes	Bridging/Routing
GPON	G	VSOLV924	4	0	2	1	Yes	Bridging/Routing
GPON	G	XC220-G3v	4	0	2	1	Yes	Bridging/Routing
GPON	G	XN020-G3	4	0	2	1	Yes	Bridging/Routing
GPON	G	ZTE-F600	4	0	0	0	Yes	Bridging/Routing
GPON	G	ZTE-F601	1	0	0	0	Yes	Bridging
GPON	G	ZTE-F601V6.0	1	0	0	0	Yes	Bridging
GPON	G	ZTE-F620	4	0	2	0	Yes	Bridging/Routing
GPON	G	ZTE-F623	4	4	1	0	Yes	Bridging/Routing
GPON	G	ZTE-F625	4	0	2	1	Yes	Bridging/Routing
GPON	G	ZTE-F625G	4	0	2	1	Yes	Bridging/Routing
GPON	G	ZTE-F627	4	4	2	0	Yes	Bridging/Routing
GPON	G	ZTE-F643	1	0	0	0	Yes	Bridging
GPON	G	ZTE-F643V6.0	1	0	0	0	Yes	Bridging
GPON	G	ZTE-F660	4	4	2	0	Yes	Bridging/Routing
GPON	G	ZTE-F660V5.0	4	4	2	0	Yes	Bridging/Routing
GPON	G	ZTE-F660V5.2	4	4	2	0	Yes	Bridging/Routing
GPON	G	ZTE-F660V6.0	4	4	2	0	Yes	Bridging/Routing
GPON	G	ZTE-F668	4	4	2	1	Yes	Bridging/Routing
